Age,Gender,Education,Employment_Type,Income,Loan_Amount,Credit_Score,Credit_Risk,Loan_Approved
52,Female,Postgraduate,Self-Employed,39033,715847,626,Medium,No
57,Male,Graduate,Salaried,143193,312299,756,Low,No
32,Female,Graduate,Self-Employed,30805,173950,663,Medium,Yes
33,Female,Graduate,Salaried,55851,379638,534,High,No
43,Male,Postgraduate,Salaried,46832,650517,693,Medium,No
45,Female,Graduate,Self-Employed,83437,154648,690,Medium,Yes
55,Female,Graduate,Business,135725,88547,603,Medium,No
50,Male,Postgraduate,Self-Employed,33944,603083,522,High,No
37,Female,12th,Salaried,39873,236368,764,Low,No
40,Male,12th,Salaried,60372,595735,789,Low,Yes
45,Female,12th,Salaried,109464,741958,759,Low,No
42,Male,Graduate,Salaried,35379,796111,574,High,Yes
33,Male,12th,Salaried,137322,306190,571,High,No
39,Female,Postgraduate,Salaried,56751,256402,758,Low,Yes
56,Female,12th,Salaried,120082,302419,687,Medium,No
32,Female,Graduate,Salaried,109822,804105,672,Medium,No
39,Female,12th,Salaried,25110,924392,789,Low,No
32,Female,Postgraduate,Salaried,74341,899710,544,High,No
29,Male,Postgraduate,Business,32087,629365,560,High,No
27,Female,Graduate,Salaried,43762,162782,582,High,No
48,Male,Postgraduate,Business,135812,677220,622,Medium,Yes
34,Male,12th,Business,102617,977032,515,High,No
